WellName,FlowDate,FlowRateAcFtPM,FlowRateCFS,FlowRateGPM
SW0099,2023-05-01,1243.54,,
SW0099,2023-06-01,1611.96,,
SW0099,2023-07-01,2151.97,,
SW0099,2023-08-01,874.8,,
SW0099,2023-09-01,127.59,,
SW0303,2022-10-01,139.2,,
SW0303,2022-11-01,86.25,,
SW0303,2022-12-01,92.63,,
SW0303,2023-01-01,105.06,,
SW0303,2023-02-01,68.04,,
SW0303,2023-03-01,64.62,,
SW0303,2023-04-01,79.21,,
SW0303,2023-05-01,176.99,,
SW0303,2023-06-01,195.35,,
SW0303,2023-07-01,471.83,,
SW0303,2023-08-01,226.54,,
SW0303,2023-09-01,427.29,,
SW0373,2023-05-01,52.18,,
SW0373,2023-06-01,136.72,,
SW0373,2023-07-01,91.65,,
SW0373,2023-08-01,2.65,,
SW0373,2023-09-01,0,,
SW0256,2022-10-01,0,,
SW0256,2022-11-01,0,,
SW0256,2022-12-01,0,,
SW0256,2023-01-01,0,,
SW0256,2023-02-01,0,,
SW0256,2023-03-01,0,,
SW0256,2023-04-01,0,,
SW0256,2023-05-01,0,,
SW0256,2023-06-01,0,,
SW0256,2023-07-01,0,,
SW0256,2023-08-01,0,,
SW0256,2023-09-01,0,,
SW0374,2022-10-01,0,,
SW0374,2022-11-01,0,,
SW0374,2022-12-01,0,,
SW0374,2023-01-01,0,,
SW0374,2023-02-01,0,,
SW0374,2023-03-01,0,,
SW0374,2023-04-01,7.93,,
SW0374,2023-05-01,72.77,,
SW0374,2023-06-01,147.86,,
SW0374,2023-07-01,159.28,,
SW0374,2023-08-01,205.47,,
SW0374,2023-09-01,24.79,,
NA,2022-10-01,0,,
NA,2022-11-01,0,,
NA,2022-12-01,0,,
NA,2023-01-01,0,,
NA,2023-02-01,0,,
NA,2023-03-01,0,,
SW0008,2022-10-01,1.08,,
SW0008,2022-11-01,1.89,,
SW0008,2022-12-01,2.88,,
SW0008,2023-01-01,1.71,,
SW0008,2023-02-01,1.59,,
SW0008,2023-03-01,3.61,,
SW0008,2023-04-01,2.6,,
SW0008,2023-05-01,6.12,,
SW0008,2023-06-01,67.74,,
SW0008,2023-07-01,53.69,,
SW0008,2023-08-01,84.11,,
SW0008,2023-09-01,42.04,,
SW0183,2022-10-01,9.5,,
SW0247,2022-10-01,0,,
SW0247,2022-11-01,0,,
SW0247,2022-12-01,0,,
SW0247,2023-01-01,0,,
SW0247,2023-02-01,0,,
SW0247,2023-03-01,0,,
SW0247,2023-04-01,0,,
SW0247,2023-05-01,0,,
SW0247,2023-06-01,0,,
SW0247,2023-07-01,0,,
SW0247,2023-08-01,0,,
SW0247,2023-09-01,0,,
SW0264,2022-10-01,0,,
SW0264,2022-11-01,0,,
SW0264,2022-12-01,0,,
SW0264,2023-01-01,0,,
SW0264,2023-02-01,0,,
SW0264,2023-03-01,0,,
SW0264,2023-04-01,10.91,,
SW0264,2023-05-01,68.69,,
SW0264,2023-06-01,21.53,,
SW0264,2023-07-01,86.21,,
SW0264,2023-08-01,40.65,,
SW0264,2023-09-01,3.77,,
SW0273,2022-10-01,0,,
SW0273,2022-11-01,0,,
SW0273,2022-12-01,0,,
SW0273,2023-01-01,0,,
SW0273,2023-02-01,0,,
SW0273,2023-03-01,0,,
SW0273,2023-04-01,0,,
SW0273,2023-05-01,0,,
SW0273,2023-06-01,0,,
SW0273,2023-07-01,0,,
SW0273,2023-08-01,0,,
SW0273,2023-09-01,0,,
SW0009,2022-10-01,7.61,,
SW0009,2022-11-01,0.04,,
SW0009,2022-12-01,0,,
SW0009,2023-01-01,0.96,,
SW0009,2023-02-01,0,,
SW0009,2023-03-01,30.34,,
SW0009,2023-04-01,31.13,,
SW0009,2023-05-01,167.73,,
SW0009,2023-06-01,96.62,,
SW0009,2023-07-01,32.29,,
SW0009,2023-08-01,35.2,,
SW0009,2023-09-01,36.84,,
SW0144,2022-10-01,0,,
SW0144,2022-11-01,0,,
SW0144,2022-12-01,0,,
SW0144,2023-01-01,0.4,,
SW0144,2023-02-01,0,,
SW0144,2023-03-01,13.21,,
SW0144,2023-04-01,36.65,,
SW0144,2023-05-01,21.08,,
SW0144,2023-06-01,28.59,,
SW0144,2023-07-01,18.82,,
SW0144,2023-08-01,42.62,,
SW0144,2023-09-01,59.66,,
NA,2022-10-01,0,,
NA,2022-11-01,0,,
NA,2022-12-01,0,,
NA,2023-01-01,0,,
NA,2023-02-01,0,,
NA,2023-03-01,0,,
SW0249,2022-10-01,0,,
SW0249,2022-11-01,0,,
SW0249,2022-12-01,0,,
SW0249,2023-01-01,0,,
SW0249,2023-02-01,0,,
SW0249,2023-03-01,0,,
SW0249,2023-04-01,0,,
SW0249,2023-05-01,0,,
SW0249,2023-06-01,0,,
SW0249,2023-07-01,0,,
SW0249,2023-08-01,0,,
SW0249,2023-09-01,0,,
SW0258,2022-10-01,0,,
SW0258,2022-11-01,0,,
SW0258,2022-12-01,0,,
SW0258,2023-01-01,0,,
SW0258,2023-02-01,0,,
SW0258,2023-03-01,0,,
SW0258,2023-04-01,0,,
SW0258,2023-05-01,0,,
SW0258,2023-06-01,0,,
SW0258,2023-07-01,0,,
SW0258,2023-08-01,0,,
SW0258,2023-09-01,0,,
SW0282,2022-10-01,0,,
SW0282,2022-11-01,0,,
SW0282,2022-12-01,0,,
SW0282,2023-01-01,0,,
SW0282,2023-02-01,0,,
SW0282,2023-03-01,0,,
SW0282,2023-04-01,0,,
SW0282,2023-05-01,0,,
SW0282,2023-06-01,0,,
SW0282,2023-07-01,0,,
SW0282,2023-08-01,0,,
SW0282,2023-09-01,0,,
SW0208,2022-10-01,70.54,,
SW0208,2022-11-01,74.09,,
SW0208,2022-12-01,75.44,,
SW0208,2023-01-01,83,,
SW0208,2023-02-01,73.61,,
SW0208,2023-03-01,125.12,,
SW0208,2023-04-01,92.48,,
SW0208,2023-05-01,41.34,,
SW0208,2023-06-01,29.75,,
SW0208,2023-07-01,30.74,,
SW0208,2023-08-01,96.2,,
SW0208,2023-09-01,104.13,,
SW0411,2022-10-01,0,,
SW0411,2022-11-01,0,,
SW0411,2022-12-01,0,,
SW0411,2023-01-01,0,,
SW0411,2023-02-01,0,,
SW0411,2023-03-01,357.16,,
SW0411,2023-04-01,0,,
SW0411,2023-05-01,497.83,,
SW0411,2023-06-01,3375.39,,
SW0411,2023-07-01,1547.11,,
SW0411,2023-08-01,0,,
SW0411,2023-09-01,0,,
SW0133,2022-10-01,0,,
SW0133,2022-11-01,0,,
SW0133,2022-12-01,0,,
SW0133,2023-01-01,0,,
SW0133,2023-02-01,0,,
SW0133,2023-03-01,0,,
SW0133,2023-04-01,0,,
SW0133,2023-05-01,314.1,,
SW0133,2023-06-01,648.79,,
SW0133,2023-07-01,1301.34,,
SW0133,2023-08-01,1123.91,,
SW0133,2023-09-01,706.71,,
SW0146,2022-10-01,0.08,,
SW0146,2022-11-01,0.66,,
SW0146,2022-12-01,0,,
SW0146,2023-01-01,3.64,,
SW0146,2023-02-01,0,,
SW0146,2023-03-01,2.33,,
SW0146,2023-04-01,63.71,,
SW0146,2023-05-01,184.69,,
SW0146,2023-06-01,294.48,,
SW0146,2023-07-01,234.31,,
SW0146,2023-08-01,65.72,,
SW0146,2023-09-01,62.1,,
SW0293,2022-10-01,0,,
SW0293,2022-11-01,0,,
SW0293,2022-12-01,0,,
SW0293,2023-01-01,0,,
SW0293,2023-02-01,0,,
SW0293,2023-03-01,0,,
SW0293,2023-04-01,0,,
SW0293,2023-05-01,66.17,,
SW0293,2023-06-01,259.16,,
SW0293,2023-07-01,394.5,,
SW0293,2023-08-01,333.87,,
SW0293,2023-09-01,2.74,,
SW0196,2022-10-01,0,,
SW0196,2022-11-01,0,,
SW0196,2022-12-01,0,,
SW0196,2023-01-01,0,,
SW0196,2023-02-01,0,,
SW0196,2023-03-01,0,,
SW0196,2023-04-01,0,,
SW0196,2023-05-01,85.22,,
SW0196,2023-06-01,802.58,,
SW0196,2023-07-01,170.32,,
SW0196,2023-08-01,0,,
SW0196,2023-09-01,0,,
SW0248,2022-10-01,0,,
SW0248,2022-11-01,0,,
SW0248,2022-12-01,0,,
SW0248,2023-01-01,0,,
SW0248,2023-02-01,0,,
SW0248,2023-03-01,0,,
SW0248,2023-04-01,35.1,,
SW0248,2023-05-01,286.94,,
SW0248,2023-06-01,407.65,,
SW0248,2023-07-01,266.42,,
SW0248,2023-08-01,130.16,,
SW0248,2023-09-01,30.6,,
SW0283,2022-10-01,0,,
SW0283,2022-11-01,0,,
SW0283,2022-12-01,0,,
SW0283,2023-01-01,0,,
SW0283,2023-02-01,0,,
SW0283,2023-03-01,0,,
SW0283,2023-04-01,0,,
SW0283,2023-05-01,0,,
SW0283,2023-06-01,7.05,,
SW0283,2023-07-01,453.84,,
SW0283,2023-08-01,427.61,,
SW0283,2023-09-01,0,,
SW0011,2022-10-01,166.95,,
SW0011,2022-11-01,120.19,,
SW0011,2022-12-01,167.67,,
SW0011,2023-01-01,319.83,,
SW0011,2023-02-01,182.58,,
SW0011,2023-03-01,631.96,,
SW0011,2023-04-01,970.29,,
SW0011,2023-05-01,2476.81,,
SW0011,2023-06-01,3268.76,,
SW0011,2023-07-01,3096.35,,
SW0011,2023-08-01,2009.45,,
SW0011,2023-09-01,2123.54,,
SW0305,2022-10-01,0,,
SW0305,2022-11-01,0,,
SW0305,2022-12-01,0,,
SW0305,2023-01-01,0,,
SW0305,2023-02-01,0,,
SW0305,2023-03-01,0,,
SW0305,2023-04-01,0,,
SW0305,2023-05-01,0,,
SW0305,2023-06-01,21.46,,
SW0305,2023-07-01,78.05,,
SW0305,2023-08-01,57.83,,
SW0305,2023-09-01,149.75,,
SW0404,2022-10-01,2.44,,
SW0404,2022-11-01,2.46,,
SW0404,2022-12-01,2.38,,
SW0404,2023-01-01,2.58,,
SW0404,2023-02-01,2.44,,
SW0404,2023-03-01,2.82,,
SW0404,2023-04-01,2.64,,
SW0404,2023-05-01,2.72,,
SW0404,2023-06-01,2.64,,
SW0404,2023-07-01,2.72,,
SW0404,2023-08-01,2.72,,
SW0404,2023-09-01,2.64,,
SW0002,2022-10-01,80.96,,
SW0002,2022-11-01,66.85,,
SW0002,2022-12-01,82.32,,
SW0002,2023-01-01,106.32,,
SW0002,2023-02-01,63.49,,
SW0002,2023-03-01,351.36,,
SW0002,2023-04-01,351.15,,
SW0002,2023-05-01,1000.44,,
SW0002,2023-06-01,1658.88,,
SW0002,2023-07-01,3254.91,,
SW0002,2023-08-01,497.68,,
SW0002,2023-09-01,372.64,,
SW0051,2022-10-01,0,,
SW0051,2022-11-01,0,,
SW0051,2022-12-01,0,,
SW0051,2023-01-01,0.28,,
SW0051,2023-02-01,0.61,,
SW0051,2023-03-01,3.09,,
SW0051,2023-04-01,12.69,,
SW0051,2023-05-01,39.29,,
SW0051,2023-06-01,7.93,,
SW0051,2023-07-01,18.49,,
SW0051,2023-08-01,66.36,,
SW0051,2023-09-01,32.57,,
SW0134,2022-10-01,0,,
SW0134,2022-11-01,0,,
SW0134,2022-12-01,0,,
SW0134,2023-01-01,0,,
SW0134,2023-02-01,0,,
SW0134,2023-03-01,0,,
SW0266,2022-10-01,0,,
SW0266,2022-11-01,0,,
SW0266,2022-12-01,0,,
SW0266,2023-01-01,0,,
SW0266,2023-02-01,0,,
SW0266,2023-03-01,251.32,,
SW0266,2023-04-01,227.45,,
SW0266,2023-05-01,1041.13,,
SW0266,2023-06-01,1309.64,,
SW0266,2023-07-01,810.02,,
SW0266,2023-08-01,481.03,,
SW0266,2023-09-01,144.26,,
SW0275,2022-10-01,0,,
SW0275,2022-11-01,0,,
SW0275,2022-12-01,0,,
SW0275,2023-01-01,0,,
SW0275,2023-02-01,0,,
SW0275,2023-03-01,0,,
SW0275,2023-04-01,5.51,,
SW0275,2023-05-01,7.16,,
SW0275,2023-06-01,4.4,,
SW0275,2023-07-01,43.57,,
SW0275,2023-08-01,25.48,,
SW0275,2023-09-01,0,,
SW0071,2022-10-01,177.63,,
SW0071,2022-11-01,152.5,,
SW0071,2022-12-01,199.88,,
SW0071,2023-01-01,302.49,,
SW0071,2023-02-01,220.52,,
SW0071,2023-03-01,605.07,,
SW0071,2023-04-01,1218.88,,
SW0071,2023-05-01,4399.22,,
SW0071,2023-06-01,6175.94,,
SW0071,2023-07-01,6630.49,,
SW0071,2023-08-01,2899.92,,
SW0071,2023-09-01,1120.64,,
SW0072,2022-10-01,156.09,,
SW0072,2022-11-01,138.3,,
SW0072,2022-12-01,169.3,,
SW0072,2023-01-01,298.5,,
SW0072,2023-02-01,199.67,,
SW0072,2023-03-01,609.01,,
SW0072,2023-04-01,1193.93,,
SW0072,2023-05-01,4384,,
SW0072,2023-06-01,5360.81,,
SW0072,2023-07-01,4447.24,,
SW0072,2023-08-01,2007.73,,
SW0072,2023-09-01,887.54,,
SW0080,2022-10-01,46.07,,
SW0080,2022-11-01,71.11,,
SW0080,2022-12-01,44.38,,
SW0080,2023-01-01,60.57,,
SW0080,2023-02-01,78.48,,
SW0080,2023-03-01,239.98,,
SW0080,2023-04-01,652.23,,
SW0080,2023-05-01,2163.28,,
SW0080,2023-06-01,1590.39,,
SW0080,2023-07-01,732.31,,
SW0080,2023-08-01,851.59,,
SW0080,2023-09-01,262.67,,
SW0081,2022-10-01,0,,
SW0081,2022-11-01,0,,
SW0081,2022-12-01,6.08,,
SW0081,2023-01-01,18.96,,
SW0081,2023-02-01,0.46,,
SW0081,2023-03-01,63.86,,
SW0081,2023-04-01,74.79,,
SW0081,2023-05-01,91.56,,
SW0081,2023-06-01,73.56,,
SW0081,2023-07-01,14.83,,
SW0081,2023-08-01,19.35,,
SW0081,2023-09-01,22.78,,
SW0193,2022-10-01,0,,
SW0193,2022-11-01,0,,
SW0193,2022-12-01,0,,
SW0193,2023-01-01,0,,
SW0193,2023-02-01,0,,
SW0193,2023-03-01,0,,
SW0193,2023-04-01,0,,
SW0193,2023-05-01,89.06,,
SW0193,2023-06-01,556.12,,
SW0193,2023-07-01,605.22,,
SW0193,2023-08-01,10.87,,
SW0193,2023-09-01,63.47,,
SW0265,2022-10-01,0,,
SW0265,2022-11-01,0,,
SW0265,2022-12-01,0,,
SW0265,2023-01-01,0,,
SW0265,2023-02-01,0,,
SW0265,2023-03-01,0,,
SW0265,2023-04-01,5.45,,
SW0265,2023-05-01,53.45,,
SW0265,2023-06-01,20.39,,
SW0265,2023-07-01,128.21,,
SW0265,2023-08-01,58.42,,
SW0265,2023-09-01,14.54,,
NA,2022-10-01,0,,
NA,2022-11-01,0,,
NA,2022-12-01,0,,
NA,2023-01-01,0,,
NA,2023-02-01,0,,
NA,2023-03-01,0,,
SW0001,2022-10-01,124.03,,
SW0001,2022-11-01,106.24,,
SW0001,2022-12-01,249.93,,
SW0001,2023-01-01,85.85,,
SW0001,2023-02-01,92.09,,
SW0001,2023-03-01,76.05,,
SW0001,2023-04-01,86.82,,
SW0001,2023-05-01,102.14,,
SW0001,2023-06-01,141.62,,
SW0001,2023-07-01,929.92,,
SW0001,2023-08-01,137.35,,
SW0001,2023-09-01,110.16,,
SW0012,2022-10-01,0,,
SW0012,2022-11-01,0,,
SW0012,2022-12-01,1.81,,
SW0012,2023-01-01,37.71,,
SW0012,2023-02-01,0,,
SW0012,2023-03-01,106.95,,
SW0012,2023-04-01,412.69,,
SW0012,2023-05-01,841.64,,
SW0012,2023-06-01,1073.75,,
SW0012,2023-07-01,976.07,,
SW0012,2023-08-01,513.02,,
SW0012,2023-09-01,188.92,,
SW0035,2022-10-01,0,,
SW0035,2022-11-01,0,,
SW0035,2022-12-01,0,,
SW0035,2023-01-01,20.64,,
SW0035,2023-02-01,0,,
SW0035,2023-03-01,117.3,,
SW0035,2023-04-01,176.48,,
SW0035,2023-05-01,243.27,,
SW0035,2023-06-01,307.3,,
SW0035,2023-07-01,340.09,,
SW0035,2023-08-01,307.86,,
SW0035,2023-09-01,206.63,,
SW0036,2022-10-01,0,,
SW0036,2022-11-01,0,,
SW0036,2022-12-01,0,,
SW0036,2023-01-01,0,,
SW0036,2023-02-01,0,,
SW0036,2023-03-01,35.03,,
SW0036,2023-04-01,94.18,,
SW0036,2023-05-01,85.15,,
SW0036,2023-06-01,74.62,,
SW0036,2023-07-01,97.58,,
SW0036,2023-08-01,88.64,,
SW0036,2023-09-01,5.17,,
SW0184,2022-10-01,3.75,,
SW0259,2022-10-01,0,,
SW0259,2022-11-01,0,,
SW0259,2022-12-01,0,,
SW0259,2023-01-01,0,,
SW0259,2023-02-01,0,,
SW0259,2023-03-01,0,,
SW0259,2023-04-01,0,,
SW0259,2023-05-01,0,,
SW0259,2023-06-01,126.65,,
SW0259,2023-07-01,313.93,,
SW0259,2023-08-01,160.74,,
SW0259,2023-09-01,64.84,,
SW0276,2022-10-01,0,,
SW0276,2022-11-01,0,,
SW0276,2022-12-01,0,,
SW0276,2023-01-01,0,,
SW0276,2023-02-01,0,,
SW0276,2023-03-01,0,,
SW0276,2023-04-01,5.16,,
SW0276,2023-05-01,6.94,,
SW0276,2023-06-01,0,,
SW0276,2023-07-01,3.23,,
SW0276,2023-08-01,31.83,,
SW0276,2023-09-01,43.7,,
SW0376,2022-10-01,0,,
SW0376,2022-11-01,0,,
SW0376,2022-12-01,0,,
SW0376,2023-01-01,0,,
SW0376,2023-02-01,0,,
SW0376,2023-03-01,0,,
SW0376,2023-04-01,0,,
SW0376,2023-05-01,0,,
SW0376,2023-06-01,0,,
SW0376,2023-07-01,0,,
SW0376,2023-08-01,0,,
SW0376,2023-09-01,0,,
SW0088,2022-10-01,3300.5,,
SW0088,2022-11-01,2505.12,,
SW0088,2022-12-01,2572.56,,
SW0088,2023-01-01,3536.53,,
SW0088,2023-02-01,2300.83,,
SW0088,2023-03-01,15750.74,,
SW0088,2023-04-01,10204.96,,
SW0088,2023-05-01,15312.4,,
SW0088,2023-06-01,32947.44,,
SW0088,2023-07-01,17248.26,,
SW0088,2023-08-01,11644.96,,
SW0088,2023-09-01,5367.27,,
SW0057,2022-10-01,0,,
SW0057,2022-11-01,0,,
SW0057,2022-12-01,0,,
SW0057,2023-01-01,0,,
SW0057,2023-02-01,0,,
SW0057,2023-03-01,0,,
SW0057,2023-04-01,206.72,,
SW0057,2023-05-01,67.93,,
SW0057,2023-06-01,0,,
SW0057,2023-07-01,0,,
SW0057,2023-08-01,0,,
SW0057,2023-09-01,0,,
SW0412,2022-10-01,0,,
SW0412,2022-11-01,0,,
SW0412,2022-12-01,0,,
SW0412,2023-01-01,0,,
SW0412,2023-02-01,0,,
SW0412,2023-03-01,326.44,,
SW0412,2023-04-01,0,,
SW0412,2023-05-01,381.5,,
SW0412,2023-06-01,3227.17,,
SW0412,2023-07-01,1283.54,,
SW0412,2023-08-01,0,,
SW0412,2023-09-01,107.11,,
SW0059,2022-10-01,0,,
SW0059,2022-11-01,0,,
SW0059,2022-12-01,0,,
SW0059,2023-01-01,0,,
SW0059,2023-02-01,0,,
SW0059,2023-03-01,0,,
SW0059,2023-04-01,0,,
SW0059,2023-05-01,0,,
SW0059,2023-06-01,0,,
SW0059,2023-07-01,0,,
SW0059,2023-08-01,0,,
SW0059,2023-09-01,0,,
SW0241,2022-10-01,0,,
SW0241,2022-11-01,0,,
SW0241,2022-12-01,0,,
SW0241,2023-01-01,0,,
SW0241,2023-02-01,0,,
SW0241,2023-03-01,0,,
SW0241,2023-04-01,0,,
SW0241,2023-05-01,61.07,,
SW0241,2023-06-01,120.1,,
SW0241,2023-07-01,136.24,,
SW0241,2023-08-01,44.9,,
SW0241,2023-09-01,15.33,,
SW0367,2022-10-01,0,,
SW0367,2022-11-01,0,,
SW0367,2022-12-01,0,,
SW0367,2023-01-01,0,,
SW0367,2023-02-01,0,,
SW0367,2023-03-01,0,,
SW0375,2022-10-01,0,,
SW0375,2022-11-01,0,,
SW0375,2022-12-01,0,,
SW0375,2023-01-01,0,,
SW0375,2023-02-01,0,,
SW0375,2023-03-01,0,,
SW0375,2023-04-01,0,,
SW0375,2023-05-01,12.89,,
SW0375,2023-06-01,159.67,,
SW0375,2023-07-01,272.73,,
SW0375,2023-08-01,590.08,,
SW0375,2023-09-01,78.35,,
SW0087,2022-10-01,0,,
SW0087,2022-11-01,0,,
SW0087,2022-12-01,0,,
SW0087,2023-01-01,368.85,,
SW0087,2023-02-01,0,,
SW0087,2023-03-01,3288.6,,
SW0087,2023-04-01,0,,
SW0087,2023-05-01,430.41,,
SW0087,2023-06-01,1628.07,,
SW0087,2023-07-01,49.59,,
